wku,title,abstract,claims,descriptions
10524403,0,0,0,0
10524407,0,0,0,0
10524421,0,0,0,0
10524422,0,0,0,0
10524458,0,0,0,0
10524466,0,0,0,0
10524470,0,0,0,0
10524503,0,0,0,0
10524505,0,0,0,0
10524513,0,0,0,0
10524515,0,0,0,0
10524530,0,0,0,0
10524536,0,0,0,0
10524538,0,0,0,0
10524540,0,0,0,0
10524542,0,0,0,0
10524543,0,0,0,0
10524544,0,0,0,0
10524562,0,0,0,0
10524570,0,0,0,0
10524609,0,0,0,0
10524614,0,0,0,0
10524638,0,0,0,0
10524641,0,0,0,0
10524644,0,0,0,0
10524655,0,0,0,0
10524670,0,0,0,8
10524671,0,0,0,0
10524677,0,0,0,0
10524684,0,0,0,0
10524692,0,0,0,0
10524695,0,0,0,0
10524703,0,0,0,0
10524710,0,0,0,0
10524711,0,0,0,0
10524722,0,0,0,0
10524728,0,0,0,0
10524730,0,0,0,0
10524735,0,0,0,0
10524737,0,1,9,90
10524760,0,0,0,0
10524770,0,0,0,0
10524771,0,0,0,0
10524782,0,0,0,0
10524787,0,0,0,0
10524788,0,0,0,0
10524789,0,0,0,0
10524790,0,0,0,0
10524792,0,0,0,0
10524794,0,0,0,0
10524795,0,0,0,0
10524799,0,0,0,0
10524815,0,0,0,0
10524820,0,0,0,0
10524852,0,0,0,0
10524854,0,0,0,0
10524855,0,0,0,0
10524856,0,0,0,0
10524857,0,0,0,0
10524858,0,0,0,0
10524865,0,0,0,0
10524868,0,0,0,0
10524870,0,0,0,0
10524871,0,0,0,0
10524872,0,0,0,0
10524879,0,0,0,0
10524880,0,0,0,0
10524881,0,0,0,0
10524886,0,0,0,0
10524904,0,0,0,0
10524905,0,0,0,0
10524906,0,0,0,0
10524907,0,0,0,0
10524908,0,0,0,0
10524911,0,0,0,0
10524912,0,0,0,0
10524913,0,0,0,0
10524939,0,0,0,0
10524961,0,0,0,0
10524962,0,0,0,0
10524963,0,0,0,0
10524964,0,0,0,0
10525104,0,0,0,0
10525106,0,0,0,0
10525145,0,0,0,0
10525184,0,0,0,0
10525200,0,0,0,0
10525207,0,0,0,0
10525208,0,0,0,0
10525232,0,0,0,0
10525237,0,0,0,0
10525244,0,0,0,0
10525247,0,0,0,0
10525252,0,0,0,0
10525253,0,0,0,0
10525256,0,0,0,0
10525257,0,0,0,0
10525258,0,0,0,0
10525263,0,0,0,0
10525266,0,0,0,0
10525268,0,0,0,0
10525270,0,0,0,0
10525272,0,0,0,0
10525322,0,0,0,0
10525323,0,0,0,0
10525333,0,0,0,0
10525341,0,0,0,1
10525387,0,0,0,0
10525435,0,0,0,0
10525437,0,0,0,0
10525442,0,0,0,0
10525466,0,0,0,0
10525485,0,0,0,0
10525490,0,0,0,0
10525497,0,0,0,0
10525500,0,0,0,0
10525524,0,0,0,0
10525525,0,0,0,0
10525529,0,0,0,0
10525545,0,0,0,0
10525548,0,0,0,0
10525552,0,0,0,0
10525590,0,0,0,0
10525593,0,0,0,0
10525599,0,0,0,0
10525603,0,0,0,0
10525629,0,0,0,0
10525630,0,0,0,0
10525635,0,0,0,0
10525637,0,0,0,0
10525638,0,0,0,0
10525639,0,0,0,0
10525650,0,0,0,0
10525657,0,0,0,0
10525667,0,0,0,0
10525671,0,0,0,0
10525678,0,0,0,0
10525680,0,0,0,0
10525683,0,0,0,0
10525685,0,0,0,0
10525687,0,0,0,0
10525690,0,0,0,0
10525694,0,0,0,0
10525703,0,0,0,0
10525713,0,0,0,0
10525714,0,0,0,0
10525729,0,0,0,0
10525731,0,0,0,0
10525734,0,0,0,0
10525737,0,0,0,0
10525739,0,0,0,0
10525742,0,0,0,0
10525744,0,0,0,0
10525753,0,0,0,0
10525791,0,0,0,0
10525825,0,0,0,0
10525833,0,0,0,0
10525841,0,0,0,0
10525843,0,0,0,0
10525845,0,0,0,0
10525850,0,0,1,5
10525858,0,0,0,0
10525861,0,0,0,0
10525863,0,0,0,0
10525880,0,0,0,0
10525882,0,0,0,0
10525896,0,0,0,0
10525898,0,0,0,0
10525899,0,0,0,0
10525912,0,0,0,0
10525915,0,0,0,0
10525921,0,0,0,0
10525922,0,0,0,0
10525923,0,0,0,0
10525925,0,0,0,0
10525926,0,0,0,0
10525928,0,0,0,0
10525929,0,0,0,0
10525930,0,0,0,0
10525934,0,0,0,0
10525957,0,0,0,0
10525967,0,0,0,0
10525969,0,0,0,0
10525970,0,0,0,0
10525982,0,0,0,0
10526019,0,0,0,0
10526021,0,0,0,0
10526023,0,0,0,0
10526069,0,0,0,0
10526070,0,0,0,4
10526071,0,0,0,0
10526072,0,0,0,0
10526076,0,0,0,0
10526081,0,0,0,0
10526088,0,0,0,0
10526090,0,0,0,0
10526091,0,0,0,0
10526092,0,0,0,0
10526121,0,0,0,0
10526124,0,0,0,0
10526133,0,0,0,0
10526136,0,0,0,0
10526151,0,0,0,0
10526195,0,0,0,0
10526198,0,0,0,0
10526205,0,0,0,0
10526231,0,0,0,0
10526232,0,0,0,0
10526234,0,0,0,0
10526249,0,0,0,0
10526250,0,0,0,0
10526261,0,0,0,0
10526296,0,0,0,0
10526301,0,0,0,0
10526316,0,0,0,0
10526325,0,0,0,0
10526336,0,0,0,0
10526344,0,0,0,0
10526363,0,0,0,0
10526366,0,0,0,0
10526403,0,0,0,0
10526411,0,0,0,0
10526425,0,0,0,0
10526428,0,0,0,0
10526440,0,0,0,0
10526444,0,0,0,0
10526462,0,0,0,0
10526503,0,0,0,0
10526511,0,0,0,0
10526515,0,0,0,0
10526523,0,0,0,0
10526531,0,0,0,0
10526535,0,0,0,0
10526537,0,0,0,0
10526565,0,0,0,0
10526566,0,0,0,0
10526568,0,0,0,0
10526570,0,0,0,0
10526590,0,0,0,0
10526630,0,0,0,0
10526635,0,0,0,0
10526646,0,0,0,0
10526648,0,0,0,0
10526663,0,0,0,0
10526700,0,0,0,0
10526701,0,0,0,0
10526713,0,0,0,0
10526731,0,0,0,0
10526743,0,0,0,0
10526750,0,0,0,0
10526752,0,0,0,0
10526755,0,0,0,0
10526766,0,0,0,1
10526821,0,0,0,0
10526848,0,0,0,0
10526849,0,0,0,0
10526850,0,0,0,0
10526856,0,0,0,0
10526858,0,0,0,0
10526861,0,0,0,0
10526864,0,0,0,0
10526866,0,0,0,0
10526867,0,0,0,0
10526868,0,0,0,0
10526869,0,0,0,0
10526872,0,0,0,0
10526874,0,0,0,0
10526876,0,0,0,0
10526879,0,0,0,0
10526881,0,0,0,0
10526883,0,0,0,0
10526885,0,0,0,0
10526886,0,0,0,0
10526887,0,0,0,0
10526888,0,0,0,0
10526890,0,0,0,0
10526894,0,0,0,0
10526897,0,0,0,0
10526898,0,0,0,0
10526899,0,0,0,0
10526905,0,0,0,0
10526908,0,0,0,0
10526909,0,0,0,0
10526910,0,0,0,0
10526911,0,0,0,0
10526912,0,0,0,0
10526913,0,0,0,0
10526915,0,0,0,0
10526916,0,0,0,0
10526917,0,0,0,0
10526919,0,0,0,0
10526921,0,0,0,0
10526928,0,0,0,0
10526958,0,0,0,0
10526971,0,0,0,0
10526975,0,0,0,0
10526976,0,0,0,0
10526992,0,1,9,40
10526996,0,0,0,0
10526998,0,0,0,0
10527011,0,0,0,0
10527018,0,0,0,0
10527023,0,0,0,0
10527025,0,0,0,0
10527037,0,0,0,0
10527038,0,0,0,0
10527042,0,0,0,0
10527049,0,0,0,0
10527056,0,0,0,0
10527060,0,0,0,0
10527102,0,0,0,0
10527103,0,0,0,0
10527106,0,0,0,0
10527107,0,0,0,0
10527111,0,0,0,0
10527129,0,0,0,0
10527131,0,0,0,0
10527134,0,0,0,0
10527140,0,0,0,0
10527144,0,0,0,0
10527145,0,0,0,0
