patent_id,uspc_subclass_title
4612053,Using pulse modulation
5761381,Genetic algorithm and genetic programming system
5761381,Constraint optimization problem solving
5761385,NEURAL NETWORK
5764824,"Manufacturing or machine (e.g., agricultural machinery, machine tool)"
5764824,ADAPTIVE SYSTEM
5768475,PLURAL PROCESSING SYSTEMS
5778155,Knowledge representation and reasoning technique
5778155,Having specific management of a knowledge base
5778155,KNOWLEDGE PROCESSING SYSTEM
5778155,Ruled
5784536,Digital neural network
5784536,Digital neuron processor
5784536,Neural simulation environment
5787234,Analogical reasoning system
5787234,Expert system shell or tool
5787407,PLURAL PROCESSING SYSTEMS
5787407,FUZZY LOGIC HARDWARE
5787407,Fuzzy inference processing
5787408,Learning task
5787408,Learning method
5787408,Classification or recognition
5787408,Architecture
5787409,Electronic or computer (internal or network) circuit
5787409,KNOWLEDGE PROCESSING SYSTEM
5787409,Having specific pattern matching or control technique
5790757,NEURAL NETWORK
5790757,PLURAL PROCESSING SYSTEMS
5790760,KNOWLEDGE PROCESSING SYSTEM
5790761,Medical
5790761,Multilayer feedforward
5790761,Learning task
5790761,APPLICATION USING AI WITH DETAIL OF THE AI SYSTEM
5793932,Radiant energy neural network
5794224,ADAPTIVE SYSTEM
5796631,Power plant
5796919,"Reasoning under uncertainty (e.g., fuzzy logic)"
5796919,Creation or modification
5796919,FUZZY LOGIC
5796919,FUZZY LOGIC HARDWARE
5797135,KNOWLEDGE PROCESSING SYSTEM
5797135,Knowledge representation and reasoning technique
5797135,Frame
5797135,Analogical reasoning system
5799291,Having function generator
5799291,FUZZY LOGIC
5799291,FUZZY LOGIC HARDWARE
5799292,HAVING PARTICULAR USER INTERFACE
5799293,Knowledge acquisition by a knowledge processing system
5799293,KNOWLEDGE PROCESSING SYSTEM
5799294,Knowledge representation and reasoning technique
5799294,KNOWLEDGE PROCESSING SYSTEM
5799294,"Semantic network (e.g., conceptual dependency, fact based structure)"
5799294,"Reasoning under uncertainty (e.g., fuzzy logic)"
5799294,Having specific management of a knowledge base
5799295,Knowledge representation and reasoning technique
5799295,KNOWLEDGE PROCESSING SYSTEM
5799295,Having specific pattern matching or control technique
5799296,"Semantic network (e.g., conceptual dependency, fact based structure)"
5799296,Multilayer feedforward
5802504,KNOWLEDGE PROCESSING SYSTEM
5802504,Ruled
5802504,HAVING PARTICULAR USER INTERFACE
5802505,Learning task
5802506,Classification or recognition
5802506,Learning method
5802506,Structure
5802507,Learning method
5802507,Classification or recognition
5802508,Having specific pattern matching or control technique
5802508,"Semantic network (e.g., conceptual dependency, fact based structure)"
5802509,Creation or modification
5805774,Having function generator
5806051,"Analog fuzzy computer (e.g., controller)"
5806052,FUZZY LOGIC HARDWARE
5806052,"Digital fuzzy computer (e.g., controller)"
